state,county,Barack Obama,Mitt Romney,Other_2012,Total Votes_2012,Winner_2012,Margin_2012,Donald Trump,Hillary Clinton,Other_2016,Total Votes_2016,Winner_2016,Margin_2016,Total_Votes_Percent_Change
Alabama,Autauga,6363,17379,190,23932,Mitt Romney,11016,18172,5936,865,24973,Donald Trump,12236,4.35
Alabama,Baldwin,18424,66016,898,85338,Mitt Romney,47592,72883,18458,3874,95215,Donald Trump,54425,11.57
Alabama,Barbour,5912,5550,47,11509,Barack Obama,362,5454,4871,144,10469,Donald Trump,583,-9.04
Alabama,Bibb,2202,6132,86,8420,Mitt Romney,3930,6738,1874,207,8819,Donald Trump,4864,4.74
Alabama,Blount,2970,20757,279,24006,Mitt Romney,17787,22859,2156,573,25588,Donald Trump,20703,6.59
Alabama,Bullock,4061,1251,10,5322,Barack Obama,2810,1140,3530,40,4710,Hillary Clinton,2390,-11.5
Alabama,Butler,4374,5087,35,9496,Mitt Romney,713,4901,3726,105,8732,Donald Trump,1175,-8.05
Alabama,Calhoun,15511,30278,468,46257,Mitt Romney,14767,32865,13242,1757,47864,Donald Trump,19623,3.47
Alabama,Chambers,6871,7626,114,14611,Mitt Romney,755,7843,5784,273,13900,Donald Trump,2059,-4.87
Alabama,Cherokee,2132,7506,141,9779,Mitt Romney,5374,8953,1547,233,10733,Donald Trump,7406,9.76
Alabama,Chilton,3397,13932,133,17462,Mitt Romney,10535,15081,2911,377,18369,Donald Trump,12170,5.19
Alabama,Choctaw,3786,4152,30,7968,Mitt Romney,366,4106,3109,77,7292,Donald Trump,997,-8.48
Alabama,Clarke,6334,7470,47,13851,Mitt Romney,1136,7140,5749,142,13031,Donald Trump,1391,-5.92
Alabama,Clay,1777,4817,68,6662,Mitt Romney,3040,5245,1237,142,6624,Donald Trump,4008,-0.57
Alabama,Cleburne,971,5272,62,6305,Mitt Romney,4301,5764,684,145,6593,Donald Trump,5080,4.57
Alabama,Coffee,4925,14666,179,19770,Mitt Romney,9741,15875,4221,671,20767,Donald Trump,11654,5.04
Alabama,Colbert,9166,13936,283,23385,Mitt Romney,4770,16746,7312,857,24915,Donald Trump,9434,6.54
Alabama,Conecuh,3555,3439,28,7022,Barack Obama,116,3420,3080,85,6585,Donald Trump,340,-6.22
Alabama,Coosa,2191,3049,29,5269,Mitt Romney,858,3381,1782,89,5252,Donald Trump,1599,-0.32
Alabama,Covington,3158,12153,112,15423,Mitt Romney,8995,13267,2387,286,15940,Donald Trump,10880,3.35
Alabama,Crenshaw,2050,4331,37,6418,Mitt Romney,2281,4513,1664,90,6267,Donald Trump,2849,-2.35
Alabama,Cullman,5052,28999,406,34457,Mitt Romney,23947,32989,3798,1086,37873,Donald Trump,29191,9.91
Alabama,Dale,5286,13108,163,18557,Mitt Romney,7822,13808,4413,528,18749,Donald Trump,9395,1.03
Alabama,Dallas,14612,6288,53,20953,Barack Obama,8324,5789,12836,167,18792,Hillary Clinton,7047,-10.31
Alabama,DeKalb,5239,18331,293,23863,Mitt Romney,13092,21405,3622,799,25826,Donald Trump,17783,8.23
Alabama,Elmore,8954,26253,278,35485,Mitt Romney,17299,27634,8443,1183,37260,Donald Trump,19191,5
Alabama,Escambia,5489,9287,93,14869,Mitt Romney,3798,9935,4605,305,14845,Donald Trump,5330,-0.16
Alabama,Etowah,12803,29130,597,42530,Mitt Romney,16327,32353,10442,1369,44164,Donald Trump,21911,3.84
Alabama,Fayette,1817,6054,75,7946,Mitt Romney,4237,6712,1362,175,8249,Donald Trump,5350,3.81
