,fips,state,county,median_age,unemployment,total_population,graduate_degree,at_least_bachelor_s_degree,at_least_high_school_diploma,less_than_high_school,median_earnings_2010_dollars,white,black,hispanic,asian,farming_fishing_and_forestry_occupations,construction_extraction_maintenance_and_repair_occupations,management_professional_and_related_occupations,production_transportation_and_material_moving_occupations,sales_and_office_occupations,service_occupations
0,27017,Minnesota,"Carlton County, Minnesota",40.1,0.07100000000000001,34630,7.2,21.4,90.3,9.7,30427.26762,89.5,1.35,1.4,0.55,0.45,9.9,33.25,15.65,20.15,20.55
1,20127,Kansas,"Morris County, Kansas",45.9,0.066,5944,7.7,16.6,90.1,9.9,25341.94984,94.2,0.2,3.65,0.55,2.95,16.05,28.65,18.75,20.7,12.95
2,40107,Oklahoma,"Okfuskee County, Oklahoma",40.3,0.07200000000000001,11662,3.1,10.9,78.8,21.2,22072.278415,64.0,9.05,2.6,0.05,1.6,16.25,27.45,10.7,22.85,21.15
3,30085,Montana,"Roosevelt County, Montana",32.0,0.074,10328,4.7,17.3,89.1,10.9,27894.546985,36.0,0.05,1.1,0.4,1.8,10.15,36.15,6.8,23.35,21.75
4,36055,New York,"Monroe County, New York",38.1,0.08,737982,15.1,34.8,88.4,11.6,29746.920315,74.25,14.1,6.6,3.0,0.15,6.1,40.95,11.1,25.55,16.15
5,51117,Virginia,"Mecklenburg County, Virginia",45.1,0.098,32357,4.8,13.4,75.2,24.8,22376.192065,58.95,36.95,2.3,0.65,2.1,11.95,28.75,16.7,23.7,16.7
6,13143,Georgia,"Haralson County, Georgia",38.0,0.095,28669,3.2,11.0,69.6,30.4,25390.72349,91.5,4.95,1.15,0.35000000000000003,0.2,15.5,24.95,19.6,24.55,15.2
7,23017,Maine,"Oxford County, Maine",43.6,0.091,57123,6.2,18.5,87.5,12.5,24005.21238,96.55,0.4,0.9500000000000001,0.5,1.7000000000000002,14.85,25.5,16.25,21.7,20.1
8,02013,Alaska,"Aleutians East Borough, Alaska",38.5,0.126,3050,0.5,9.6,64.1,35.9,20785.85238,11.75,8.25,10.9,41.45,3.5,3.95,9.05,69.55,7.75,6.2
9,21123,Kentucky,"Larue County, Kentucky",39.1,0.075,13886,4.9,12.1,76.8,23.2,22324.714285,92.85,3.45,2.15,0.15,3.0,14.45,24.05,23.35,21.3,13.9
10,37021,North Carolina,"Buncombe County, North Carolina",40.6,0.075,232093,11.1,31.2,87.2,12.8,25470.160315,85.2,6.6,5.1,1.0,0.35000000000000003,9.9,35.75,11.5,24.0,18.45
11,42041,Pennsylvania,"Cumberland County, Pennsylvania",39.9,0.066,231632,12.0,32.3,90.4,9.6,31097.40984,90.4,2.95,2.4,2.65,0.4,6.7,38.0,13.2,27.65,14.0
12,45015,South Carolina,"Berkeley County, South Carolina",34.3,0.08,170585,5.5,18.3,86.3,13.7,26807.43905,64.6,25.35,4.9,2.2,0.30000000000000004,13.0,28.8,15.7,25.8,16.4
13,18081,Indiana,"Johnson County, Indiana",36.4,0.07,137867,8.6,26.2,90.3,9.7,32133.41746,92.95,1.3,2.65,1.65,0.25,9.45,34.35,14.45,26.4,15.1
